Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Sep.2009,128002000,17024000,81516000,28950000,92075,87591,57,5.5
Oct.2009,128032000,17011000,81493000,29005000,92997,94708,56.7,5.2
Nov.2009,128055000,16996000,81466000,29061000,85752,97110,56.6,5
Dec.2009,128059000,16981000,81436000,29098000,91580,106055,56.3,4.8
Jan.2010,128032000,16973000,81394000,29113000,90577,113091,56.2,4.9
Feb.2010,128052000,16956000,81380000,29151000,81334,97957,56,5
Mar.2010,128003000,16947000,81268000,29212000,87853,103220,56.2,5.3
Apr.2010,128032000,16947000,81230000,29268000,87312,98875,56.8,5.4
May.2010,128011000,16933000,81174000,29307000,86721,97707,57,5.2
Jun.2010,128041000,16921000,81179000,29332000,89532,90408,56.8,5.2
Jul.2010,128070000,16921000,81186000,29344000,93040,95164,56.8,5
Aug.2010,128069000,16914000,81161000,29364000,92467,95699,56.8,5.1
Sep.2010,128028000,16884000,81107000,29395000,92104,91715,57.1,5.1
Oct.2010,128057352,16839000,81735000,29484000,92270,98355,56.9,5
Nov.2010,128066000,16834000,81721000,29508000,88225,103939,56.6,4.8
Dec.2010,128058000,16830000,81712000,29511000,89870,110884,56.4,4.6
Jan.2011,128027000,16832000,81685000,29504000,88493,121776,56.2,4.8
Feb.2011,127994000,16818000,81651000,29514000,79755,103008,56.3,4.6
Mar.2011,127945000,16802000,81593000,29535000,87512,130052,56.1,4.9
Apr.2011,127708000,16767000,81398000,29543000,85254,103701,56.7,5
May.2011,127749000,16756000,81440000,29547000,86491,101201,56.9,4.7
Jun.2011,127809000,16747000,81497000,29555000,87266,94571,56.7,4.7
Jul.2011,127833000,16744000,81495000,29578000,91383,94281,56.5,4.7
Aug.2011,127838000,16736000,81456000,29624000,93066,96081,56.6,4.5
Sep.2011,127797000,16713000,81376000,29679000,92497,92090,56.9,4.2
Oct.2011,127834000,16705000,81342000,29752000,89180,100419,56.7,4.4
Nov.2011,127839000,16691000,81284000,29825000,84667,101395,56.7,4.3
Dec.2011,127831000,16679000,81215000,29893000,85243,114493,56.4,4.2
Jan.2012,127708000,16667000,81073000,29922000,87680,123101,55.9,4.5
Feb.2012,127678000,16650000,80920000,30057000,81469,114199,56.1,4.4
Mar.2012,127629000,16643000,80792000,30141000,83749,111130,56,4.7
Apr.2012,127625000,16640000,80689000,30238000,81719,102562,56.5,4.8
May.2012,127584000,16618000,80584000,30320000,85841,98945,56.8,4.5
Jun.2012,127611000,16604000,80549000,30393000,83451,90959,56.8,4.4
